Gen: 2
     id:17 |Total fit:0.9334552261897731 |fitness:[0.1477826938420251, 0.6702896994171643, 0.1153828329305836]
     id:25 |Total fit:1.063592702432341 |fitness:[0.1370929136142743, 0.8219415445862153, 0.10455824423185144]
     id:27 |Total fit:1.0423964107590271 |fitness:[0.11957351127874084, 0.7894917729948018, 0.13333112648548445]
     id:31 |Total fit:1.0097326171435774 |fitness:[0.12100964676869515, 0.7606220732912317, 0.12810089708365058]
     id:37 |Total fit:0.9149011803233439 |fitness:[0.14928120693406832, 0.6579169709727771, 0.1077030024164984]
     id:40 |Total fit:1.0512475782352364 |fitness:[0.12249075215782984, 0.804012544571895, 0.1247442815055116]
     id:47 |Total fit:0.934541005851166 |fitness:[0.14069775875825052, 0.6860276954361244, 0.10781555165679102]

Gen: 8
     id:1 |Total fit:0.9299711611049368 |fitness:[0.14213099296438675, 0.6712921195457605, 0.11654804859478964]
     id:2 |Total fit:1.0502550904174028 |fitness:[0.13363313266120258, 0.7945325142128854, 0.12208944354331491]
     id:4 |Total fit:0.9083884641583807 |fitness:[0.14931747298179443, 0.6560553335910985, 0.10301565758548777]
     id:5 |Total fit:0.7203384716732399 |fitness:[0.15728875027199535, 0.46831636379258496, 0.09473335760865967]
     id:13 |Total fit:0.8181274746697443 |fitness:[0.15147022557481685, 0.5743867336856124, 0.09227051540931511]
     id:17 |Total fit:0.9334552261897731 |fitness:[0.1477826938420251, 0.6702896994171643, 0.1153828329305836]
     id:25 |Total fit:1.063592702432341 |fitness:[0.1370929136142743, 0.8219415445862153, 0.10455824423185144]
     id:27 |Total fit:1.0423964107590271 |fitness:[0.11957351127874084, 0.7894917729948018, 0.13333112648548445]
     id:31 |Total fit:1.0097326171435774 |fitness:[0.12100964676869515, 0.7606220732912317, 0.12810089708365058]
     id:37 |Total fit:0.9149011803233439 |fitness:[0.14928120693406832, 0.6579169709727771, 0.1077030024164984]
     id:40 |Total fit:1.0512475782352364 |fitness:[0.12249075215782984, 0.804012544571895, 0.1247442815055116]
     id:47 |Total fit:0.934541005851166 |fitness:[0.14069775875825052, 0.6860276954361244, 0.10781555165679102]

Gen: 9
     id:0 |Total fit:0.9544398765966594 |fitness:[0.10890404003771668, 0.7320530996262405, 0.11348273693270218]
     id:1 |Total fit:0.9299711611049368 |fitness:[0.14213099296438675, 0.6712921195457605, 0.11654804859478964]
