Gen: 1
     id: 5| fitness:0.12869836320337383 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.1076462013926966 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23158575059768755 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.3177837267299981 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.14031449885360595 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.243968028170205 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.3000123446520342 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
     id: 15| fitness:0.3404873194851784 | w: [0.240417741376874, 0.4769726031674786, 0.2826096554556474]
     id: 16| fitness:0.15776377690412247 | w: [0.9191086185905382, 0.062074687450922816, 0.01881669395853902]
     id: 17| fitness:0.5849470579440278 | w: [0.11343026548054336, 0.794799987227036, 0.0917697472924206]
     id: 18| fitness:0.1084732924300916 | w: [0.06314030328422104, 0.08987330669839438, 0.8469863900173846]
     id: 19| fitness:0.12329234996801318 | w: [0.7707081494860528, 0.012560525533868631, 0.21673132498007855]

Gen: 4
     id: 0| fitness:0.19643963323658775 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.15017209696312925 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.39622375230986917 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.11547185059596995 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.12598297762523628 | w: [0.8410311196877877, 0.015617892824611769, 0.14335098748760058]
     id: 5| fitness:0.12869836320337383 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.1076462013926966 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23158575059768755 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.3177837267299981 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.14031449885360595 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.19151755362560158 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.3000123446520342 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
     id: 15| fitness:0.2367734358818617 | w: [0.240417741376874, 0.4769726031674786, 0.2826096554556474]
     id: 16| fitness:0.15776377690412247 | w: [0.9191086185905382, 0.062074687450922816, 0.01881669395853902]
     id: 17| fitness:0.5849470579440278 | w: [0.11343026548054336, 0.794799987227036, 0.0917697472924206]
     id: 18| fitness:0.1084732924300916 | w: [0.06314030328422104, 0.08987330669839438, 0.8469863900173846]
     id: 19| fitness:0.12329234996801318 | w: [0.7707081494860528, 0.012560525533868631, 0.21673132498007855]

Gen: 5
     id: 0| fitness:0.19643963323658775 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.15017209696312925 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.39622375230986917 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.11547185059596995 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.12598297762523628 | w: [0.8410311196877877, 0.015617892824611769, 0.14335098748760058]
     id: 5| fitness:0.12869836320337383 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.1076462013926966 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23158575059768755 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.3177837267299981 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.14031449885360595 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.19151755362560158 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.3000123446520342 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
     id: 15| fitness:0.2367734358818617 | w: [0.240417741376874, 0.4769726031674786, 0.2826096554556474]
     id: 16| fitness:0.15776377690412247 | w: [0.9191086185905382, 0.062074687450922816, 0.01881669395853902]
     id: 17| fitness:0.539963746836975 | w: [0.11343026548054336, 0.794799987227036, 0.0917697472924206]
     id: 18| fitness:0.1084732924300916 | w: [0.06314030328422104, 0.08987330669839438, 0.8469863900173846]
     id: 19| fitness:0.12329234996801318 | w: [0.7707081494860528, 0.012560525533868631, 0.21673132498007855]

Gen:new 6
     continue len = 0

Gen:new 7
     continue len = 0

Gen: 8
     id: 0| fitness:0.19643963323658775 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.15017209696312925 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.39622375230986917 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.11547185059596995 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.12598297762523628 | w: [0.8410311196877877, 0.015617892824611769, 0.14335098748760058]
     id: 5| fitness:0.12869836320337383 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.1076462013926966 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23158575059768755 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.3177837267299981 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.14031449885360595 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.19151755362560158 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.26915311748021276 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
     id: 15| fitness:0.2367734358818617 | w: [0.240417741376874, 0.4769726031674786, 0.2826096554556474]
     id: 16| fitness:0.15776377690412247 | w: [0.9191086185905382, 0.062074687450922816, 0.01881669395853902]
     id: 17| fitness:0.539963746836975 | w: [0.11343026548054336, 0.794799987227036, 0.0917697472924206]
     id: 18| fitness:0.1084732924300916 | w: [0.06314030328422104, 0.08987330669839438, 0.8469863900173846]
     id: 19| fitness:0.12329234996801318 | w: [0.7707081494860528, 0.012560525533868631, 0.21673132498007855]

Gen: 9
     id: 0| fitness:0.19643963323658775 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.15017209696312925 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.39622375230986917 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08696762361397209 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.12598297762523628 | w: [0.8410311196877877, 0.015617892824611769, 0.14335098748760058]
     id: 5| fitness:0.12869836320337383 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.1076462013926966 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23158575059768755 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.27431597849847444 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.14031449885360595 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.19151755362560158 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.26915311748021276 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
     id: 15| fitness:0.2367734358818617 | w: [0.240417741376874, 0.4769726031674786, 0.2826096554556474]
     id: 16| fitness:0.15776377690412247 | w: [0.9191086185905382, 0.062074687450922816, 0.01881669395853902]
     id: 17| fitness:0.539963746836975 | w: [0.11343026548054336, 0.794799987227036, 0.0917697472924206]
     id: 18| fitness:0.10721558117672716 | w: [0.06314030328422104, 0.08987330669839438, 0.8469863900173846]
     id: 19| fitness:0.12329234996801318 | w: [0.7707081494860528, 0.012560525533868631, 0.21673132498007855]

Gen: 10
     id: 0| fitness:0.19643963323658775 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14509855191249643 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.39622375230986917 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08696762361397209 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.11995082885927741 | w: [0.8410311196877877, 0.015617892824611769, 0.14335098748760058]
     id: 5| fitness:0.12869836320337383 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.1076462013926966 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23158575059768755 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.27431597849847444 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.14031449885360595 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.19151755362560158 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.26915311748021276 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
     id: 15| fitness:0.2367734358818617 | w: [0.240417741376874, 0.4769726031674786, 0.2826096554556474]
     id: 16| fitness:0.15331784892361183 | w: [0.9191086185905382, 0.062074687450922816, 0.01881669395853902]
     id: 17| fitness:0.539963746836975 | w: [0.11343026548054336, 0.794799987227036, 0.0917697472924206]
     id: 18| fitness:0.10721558117672716 | w: [0.06314030328422104, 0.08987330669839438, 0.8469863900173846]
     id: 19| fitness:0.12329234996801318 | w: [0.7707081494860528, 0.012560525533868631, 0.21673132498007855]

Gen:new 11
     continue len = 0

Gen:new 12
     continue len = 0

Gen: 13
     id: 0| fitness:0.19643963323658775 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.143670231573686 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.39622375230986917 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08696762361397209 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.11995082885927741 | w: [0.8410311196877877, 0.015617892824611769, 0.14335098748760058]
     id: 5| fitness:0.12869836320337383 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.1076462013926966 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23158575059768755 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.27431597849847444 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.14031449885360595 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.19151755362560158 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.26915311748021276 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
     id: 15| fitness:0.2367734358818617 | w: [0.240417741376874, 0.4769726031674786, 0.2826096554556474]
     id: 16| fitness:0.15181278488881805 | w: [0.9191086185905382, 0.062074687450922816, 0.01881669395853902]
     id: 17| fitness:0.539963746836975 | w: [0.11343026548054336, 0.794799987227036, 0.0917697472924206]
     id: 18| fitness:0.10721558117672716 | w: [0.06314030328422104, 0.08987330669839438, 0.8469863900173846]
     id: 19| fitness:0.12329234996801318 | w: [0.7707081494860528, 0.012560525533868631, 0.21673132498007855]

Gen:new 14
     continue len = 0

Gen: 15
     id: 0| fitness:0.19643963323658775 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.143670231573686 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.39622375230986917 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08696762361397209 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.11995082885927741 | w: [0.8410311196877877, 0.015617892824611769, 0.14335098748760058]
     id: 5| fitness:0.12780536874230058 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.1076462013926966 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23158575059768755 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.27431597849847444 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.14031449885360595 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.19151755362560158 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.26915311748021276 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
     id: 15| fitness:0.2367734358818617 | w: [0.240417741376874, 0.4769726031674786, 0.2826096554556474]
     id: 16| fitness:0.15181278488881805 | w: [0.9191086185905382, 0.062074687450922816, 0.01881669395853902]
     id: 17| fitness:0.539963746836975 | w: [0.11343026548054336, 0.794799987227036, 0.0917697472924206]
     id: 18| fitness:0.10721558117672716 | w: [0.06314030328422104, 0.08987330669839438, 0.8469863900173846]
     id: 19| fitness:0.12329234996801318 | w: [0.7707081494860528, 0.012560525533868631, 0.21673132498007855]

Gen:new 16
     continue len = 0

Gen:new 17
     continue len = 0

Gen: 18
     id: 0| fitness:0.19643963323658775 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.143670231573686 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.39622375230986917 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08696762361397209 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.11995082885927741 | w: [0.8410311196877877, 0.015617892824611769, 0.14335098748760058]
     id: 5| fitness:0.12780536874230058 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.1076462013926966 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23158575059768755 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.27431597849847444 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.14031449885360595 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.19151755362560158 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.26915311748021276 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
     id: 15| fitness:0.2367734358818617 | w: [0.240417741376874, 0.4769726031674786, 0.2826096554556474]
     id: 16| fitness:0.15181278488881805 | w: [0.9191086185905382, 0.062074687450922816, 0.01881669395853902]
     id: 17| fitness:0.539963746836975 | w: [0.11343026548054336, 0.794799987227036, 0.0917697472924206]
     id: 18| fitness:0.10721558117672716 | w: [0.06314030328422104, 0.08987330669839438, 0.8469863900173846]
     id: 19| fitness:0.12077533891855242 | w: [0.7707081494860528, 0.012560525533868631, 0.21673132498007855]

Gen:new 19
     continue len = 0

Gen:new 20
     continue len = 0

Gen: 21
     id: 0| fitness:0.19643963323658775 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.143670231573686 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.39622375230986917 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08696762361397209 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.11995082885927741 | w: [0.8410311196877877, 0.015617892824611769, 0.14335098748760058]
     id: 5| fitness:0.12780536874230058 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.1076462013926966 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23135390671149222 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.27431597849847444 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.14031449885360595 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.19151755362560158 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.26915311748021276 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
     id: 15| fitness:0.2367734358818617 | w: [0.240417741376874, 0.4769726031674786, 0.2826096554556474]
     id: 16| fitness:0.15181278488881805 | w: [0.9191086185905382, 0.062074687450922816, 0.01881669395853902]
     id: 17| fitness:0.539963746836975 | w: [0.11343026548054336, 0.794799987227036, 0.0917697472924206]
     id: 18| fitness:0.10721558117672716 | w: [0.06314030328422104, 0.08987330669839438, 0.8469863900173846]
     id: 19| fitness:0.12077533891855242 | w: [0.7707081494860528, 0.012560525533868631, 0.21673132498007855]

Gen: 22
     id: 0| fitness:0.19643963323658775 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.143670231573686 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.39622375230986917 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08696762361397209 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.11995082885927741 | w: [0.8410311196877877, 0.015617892824611769, 0.14335098748760058]
     id: 5| fitness:0.12780536874230058 | w: [0.6117210695313161, 0.033702420758271366, 0.35457650971041255]
     id: 6| fitness:0.43141345176263135 | w: [0.3163472203752683, 0.6790245874609233, 0.004628192163808387]
     id: 7| fitness:0.10111129717587539 | w: [0.6747047441941568, 0.005973767505589271, 0.3193214883002539]
     id: 8| fitness:0.4264325919807296 | w: [0.08685239977561399, 0.5948532512959476, 0.31829434892843844]
     id: 9| fitness:0.23135390671149222 | w: [0.7649921639907781, 0.2285813376694741, 0.006426498339747816]
     id: 10| fitness:0.3362609517751784 | w: [0.10237687247249838, 0.5760217558250397, 0.32160137170246195]
     id: 11| fitness:0.27431597849847444 | w: [0.07724949019036909, 0.43447269445322056, 0.48827781535641035]
     id: 12| fitness:0.12439111205019751 | w: [0.7084701048292553, 0.04624564384890469, 0.24528425132183998]
     id: 13| fitness:0.19151755362560158 | w: [0.5864087276627573, 0.2410040107745195, 0.1725872615627232]
     id: 14| fitness:0.26915311748021276 | w: [0.5603640230266179, 0.34794889535440227, 0.09168708161897982]
