Gen: 1
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.8009141174511062 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5971220027187419 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.44070413521607826 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6493926641069062 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3965405805819731 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7917792354050199 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5075508933031664 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 3
     continue len = 0

Gen: 4
     id: 0| fitness:0.5700118340439058 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5613952518087304 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.28071688833138675 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.7861746776220027 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5971220027187419 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.44070413521607826 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6354875484653878 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3965405805819731 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7876223470503855 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5075508933031664 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 5
     continue len = 0

Gen: 6
     id: 0| fitness:0.5314046004022064 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5613952518087304 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.28071688833138675 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.7861746776220027 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5971220027187419 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.44070413521607826 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6292254757117857 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3965405805819731 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.778691226187028 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5075508933031664 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 7
     continue len = 0

Gen: 8
     id: 0| fitness:0.5314046004022064 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5613952518087304 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.28071688833138675 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5971220027187419 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.44070413521607826 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3965405805819731 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5075508933031664 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen: 9
     id: 0| fitness:0.5314046004022064 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5146144352153263 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.28071688833138675 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5087872113948102 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.44070413521607826 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3965405805819731 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5063541884088287 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen: 10
     id: 0| fitness:0.5314046004022064 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5146144352153263 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.28071688833138675 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5087872113948102 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.44070413521607826 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3965405805819731 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5063541884088287 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 11
     continue len = 0

Gen:new 12
     continue len = 0

Gen:new 13
     continue len = 0

Gen: 14
     id: 0| fitness:0.5314046004022064 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5146144352153263 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.28071688833138675 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5087872113948102 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.42797238123260944 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3965405805819731 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5063541884088287 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 15
     continue len = 0

Gen:new 16
     continue len = 0

Gen: 17
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5146144352153263 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.28071688833138675 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5087872113948102 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3965405805819731 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5063541884088287 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 18
     continue len = 0

Gen:new 19
     continue len = 0

Gen: 20
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5146144352153263 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5087872113948102 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.37802494215784477 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5063541884088287 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 21
     continue len = 0

Gen:new 22
     continue len = 0

Gen:new 23
     continue len = 0

Gen: 24
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5146144352153263 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5087872113948102 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3776737313676019 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5063541884088287 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 25
     continue len = 0

Gen:new 26
     continue len = 0

Gen: 27
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5146144352153263 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5087872113948102 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3776737313676019 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5063541884088287 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 28
     continue len = 0

Gen:new 29
     continue len = 0

Gen:new 30
     continue len = 0

Gen:new 31
     continue len = 0

Gen:new 32
     continue len = 0

Gen:new 33
     continue len = 0

Gen: 34
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5146144352153263 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.39372738808284014 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5087872113948102 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3776737313676019 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5063541884088287 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.37175052274268516 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 35
     continue len = 0

Gen: 36
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5146144352153263 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
