Gen: 1
     id: 17| fitness:0.1455599709617309 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.24005854826290302 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen:new 3
     continue len = 0

Gen: 4
     id: 0| fitness:0.25111571820135403 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14688321911160063 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.5544902016285242 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.14788493336309397 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.24861786600384225 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.15596987798183704 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.48393492970978863 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.36213137057965433 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.4888575322119554 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen: 5
     id: 0| fitness:0.25111571820135403 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14688321911160063 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.5544902016285242 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.14788493336309397 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.24861786600384225 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.15596987798183704 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.48393492970978863 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.36213137057965433 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.4888575322119554 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen: 6
     id: 0| fitness:0.25111571820135403 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14688321911160063 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.5544902016285242 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.14788493336309397 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.24861786600384225 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.15596987798183704 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.48393492970978863 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.36213137057965433 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.4888575322119554 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen: 7
     id: 0| fitness:0.25111571820135403 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14688321911160063 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.5544902016285242 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.14788493336309397 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.24574651704030198 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.15596987798183704 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.48393492970978863 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.36213137057965433 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.4888575322119554 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen:new 8
     continue len = 0

Gen: 9
     id: 0| fitness:0.22534354611447888 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14688321911160063 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.5544902016285242 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.14788493336309397 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.228071237966113 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.15596987798183704 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.48393492970978863 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.36213137057965433 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.4888575322119554 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen: 10
     id: 0| fitness:0.22534354611447888 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14688321911160063 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.5544902016285242 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.14788493336309397 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.228071237966113 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.15596987798183704 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.48393492970978863 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.36213137057965433 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.4888575322119554 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen:new 11
     continue len = 0

Gen: 12
     id: 0| fitness:0.22534354611447888 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14688321911160063 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.5544902016285242 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.14788493336309397 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.228071237966113 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.15596987798183704 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.48393492970978863 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.36213137057965433 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.4888575322119554 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen: 13
     id: 0| fitness:0.22534354611447888 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.14688321911160063 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.5544902016285242 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.14788493336309397 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.228071237966113 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.15596987798183704 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.48393492970978863 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.3339889614469769 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.4888575322119554 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen: 14
     id: 0| fitness:0.22534354611447888 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.13446455751115885 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.5544902016285242 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.137102020175116 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.228071237966113 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.1433296025534222 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.48393492970978863 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.3339889614469769 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.4888575322119554 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen: 15
     id: 0| fitness:0.22534354611447888 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.13446455751115885 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.3982836828582208 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.137102020175116 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.228071237966113 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.1433296025534222 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.3346765306601651 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.3339889614469769 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.3382980454601962 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen: 16
     id: 0| fitness:0.22534354611447888 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.13446455751115885 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.3982836828582208 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.137102020175116 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.228071237966113 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.1433296025534222 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.3346765306601651 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.3291708153876147 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.3339889614469769 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
     id: 13| fitness:0.2768097215339069 | w: [0.16071772072433355, 0.5462485830717237, 0.2930336962039427]
     id: 14| fitness:0.18358290374154668 | w: [0.5818460882790932, 0.21030297979531618, 0.2078509319255906]
     id: 15| fitness:0.08865841622341102 | w: [0.3620456287070576, 0.01024101860018457, 0.6277133526927579]
     id: 16| fitness:0.3382980454601962 | w: [0.008633528523157352, 0.7582848408326752, 0.23308163064416743]
     id: 17| fitness:0.13554413156580122 | w: [0.5729992013277885, 0.10047592943209414, 0.32652486924011737]
     id: 18| fitness:0.17241409309777522 | w: [0.5388699256359816, 0.10556063522999289, 0.35556943913402556]
     id: 19| fitness:0.19476993651837837 | w: [0.43836703380354713, 0.2598267574737216, 0.3018062087227313]

Gen:new 17
     continue len = 0

Gen: 18
     id: 0| fitness:0.22534354611447888 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.13446455751115885 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.3982836828582208 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.08998836876146073 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.137102020175116 | w: [0.8488315513015354, 0.05749833941163448, 0.09367010928683009]
     id: 5| fitness:0.1458134442150417 | w: [0.5583787646431289, 0.07193950235223409, 0.369681733004637]
     id: 6| fitness:0.228071237966113 | w: [0.39029714907312696, 0.3279715995584215, 0.28173125136845156]
     id: 7| fitness:0.1433296025534222 | w: [0.9219906711053528, 0.06289793667615191, 0.015111392218495265]
     id: 8| fitness:0.3346765306601651 | w: [0.05481065270358898, 0.7345021968569928, 0.2106871504394182]
     id: 9| fitness:0.29592798132190856 | w: [0.31281308065057944, 0.5322883938064954, 0.15489852554292516]
     id: 10| fitness:0.64756658863036 | w: [0.03293543389925546, 0.9575255832637839, 0.009538982836960641]
     id: 11| fitness:0.1394801526838313 | w: [0.9845391203807212, 0.0036912045377099937, 0.011769675081568783]
     id: 12| fitness:0.2662355187471775 | w: [0.13622905026018584, 0.5134509914280413, 0.35031995831177287]
